tour,player_name,serve_pts,serve_pts_won,return_pts,return_pts_won,serve_win_pct,return_win_pct,total_win_pct,ras_slow,ras_medium,ras_fast,n_slow,n_medium,n_fast,body_return_pts,cluster,PC1,PC2
ATP,A Rublev,1025,690,1126,436,0.6731707317073171,0.3872113676731794,0.5234774523477452,,,,,,,,,,
ATP,A Zverev,1397,954,1660,699,0.6828919112383679,0.4210843373493976,0.5407262021589794,,,,,,,,,,
ATP,A. Rublev,956,605,1031,407,0.6328451882845189,0.3947623666343356,0.5093105183694011,,,,,,,,,,
ATP,A. Seppi,1261,827,1261,435,0.6558287073750991,0.344964314036479,0.500396510705789,,,,,,,,,,
ATP,A. Zverev,2554,1678,2652,1039,0.6570086139389193,0.39177978883861236,0.5218978102189781,,,,,,,,,,
ATP,Adrian Mannarino,3769,2356,3686,1341,0.6250994958875034,0.36380900705371677,0.4959087860496311,0.9601226993865031,0.8976982097186701,0.8733333333333333,326.0,391.0,300.0,1017.0,6.0,-0.96034880232873,0.5928112560808558
ATP,Albert Ramos Vinolas,2187,1341,2139,734,0.6131687242798354,0.34315100514259,0.47965788257050396,0.9555555555555556,0.944,0.9158878504672897,135.0,250.0,214.0,599.0,3.0,0.027757173387001483,-0.04245137670604867
ATP,Alejandro Davidovich Fokina,2315,1450,2320,900,0.6263498920086393,0.3879310344827586,0.5070118662351673,0.9742765273311897,0.964,0.9156626506024096,311.0,250.0,249.0,810.0,3.0,0.5802808398916006,0.3143835691001527
ATP,Alex De Minaur,1796,1155,1880,709,0.6430957683741648,0.3771276595744681,0.5070729053318824,0.9863013698630136,0.9441860465116279,0.9380952380952381,146.0,215.0,210.0,571.0,3.0,0.6935925122206534,0.35109059786165503
ATP,Alex de Minaur,2930,1859,3109,1350,0.6344709897610922,0.4342232229012544,0.5313793674449412,0.9735849056603774,0.9536082474226805,0.9631728045325779,530.0,388.0,353.0,1271.0,1.0,0.8786827178491322,-0.20123921185348911
ATP,Alexander Bublik,3028,1961,3004,1076,0.6476221928665786,0.3581890812250333,0.5034814323607427,0.9384615384615385,0.905982905982906,0.9272030651340997,260.0,234.0,261.0,755.0,4.0,-0.6472155208734681,-0.4569189658232815
ATP,Alexander Zverev,6093,4165,6582,2516,0.683571311340883,0.38225463384989367,0.5271005917159763,0.9727371864776445,0.9398340248962656,0.8729166666666667,917.0,964.0,960.0,2841.0,6.0,-0.18924538754400833,0.7888640515590238
ATP,Alexei Popyrin,2604,1685,2489,892,0.6470814132104454,0.3583768581759743,0.5059886118201453,0.9644128113879004,0.9406392694063926,0.9017341040462428,281.0,219.0,173.0,673.0,3.0,-0.024656261253765743,0.3008185200946978
ATP,Aljaz Bedene,2338,1523,2242,786,0.6514114627887083,0.35057983942908116,0.5041484716157205,0.9855072463768116,0.8656716417910447,0.6407766990291263,69.0,67.0,103.0,239.0,5.0,-3.2591022353774726,3.708674349650269
ATP,Andreas Seppi,2548,1667,2596,905,0.6542386185243328,0.348613251155624,0.5,0.9575471698113207,0.8848484848484849,0.8658008658008658,212.0,165.0,231.0,608.0,6.0,-1.250059777858517,0.642914985847107
ATP,Andrey Rublev,5346,3531,5575,2130,0.6604938271604939,0.3820627802690583,0.5183591246222873,0.9726443768996961,0.9417758369723436,0.8978328173374613,658.0,687.0,646.0,1991.0,3.0,0.07471670358880776,0.5118425370230233
ATP,Andy Murray,3594,2334,3661,1465,0.6494156928213689,0.40016388964763727,0.5236388697450034,0.9281437125748503,0.9276437847866419,0.8937007874015748,501.0,539.0,508.0,1548.0,6.0,-0.8154209678905513,-0.34055344279509536
ATP,Arthur Fils,1199,757,1136,401,0.6313594662218516,0.3529929577464789,0.49593147751606,0.9833333333333333,0.9607843137254902,0.9316239316239316,120.0,153.0,117.0,390.0,3.0,0.8206439011015594,0.3329127233327928
ATP,Arthur Rinderknech,1816,1185,1840,604,0.6525330396475771,0.3282608695652174,0.48933260393873085,0.9481132075471698,0.9246575342465754,0.900709219858156,212.0,146.0,141.0,499.0,6.0,-0.4973399395657193,0.0010987852073395773
ATP,Aslan Karatsev,1373,870,1392,504,0.6336489439184269,0.3620689655172414,0.4969258589511754,0.9497716894977168,0.9065934065934066,0.8904109589041096,219.0,182.0,146.0,547.0,6.0,-0.824399289224078,0.17759585221925517
ATP,B. Coric,1273,847,1317,478,0.6653574234092694,0.36294608959757024,0.5115830115830116,,,,,,,,,,
ATP,B. Paire,1467,903,1478,566,0.6155419222903885,0.38294993234100133,0.49881154499151104,,,,,,,,,,
ATP,Ben Shelton,1786,1233,1885,658,0.6903695408734603,0.34907161803713527,0.5151184963225279,0.9680851063829787,0.9803921568627451,0.92018779342723,188.0,204.0,213.0,605.0,3.0,0.7622608690490924,0.10984912614711405
ATP,Benjamin Bonzi,1520,981,1567,562,0.6453947368421052,0.35864709636247605,0.49983803045027536,0.967479674796748,0.911504424778761,0.9537037037037037,123.0,113.0,108.0,344.0,4.0,0.10902550342040176,-0.15477781744369645
ATP,Benoit Paire,2466,1514,2363,840,0.6139497161394971,0.3554803216250529,0.4874715261958998,0.8666666666666667,0.8893280632411067,0.8952879581151832,180.0,253.0,191.0,624.0,2.0,-2.2385708460295146,-1.5667371899024531
ATP,Bernabe Zapata Miralles,978,612,1005,339,0.6257668711656442,0.3373134328358209,0.4795763993948563,0.9795918367346939,0.9384615384615385,0.8484848484848485,98.0,65.0,99.0,262.0,6.0,-0.34142156834156273,1.199575944566635
ATP,Borna Coric,2290,1495,2341,813,0.6528384279475983,0.3472874839812046,0.4983804793781041,0.9649805447470817,0.9080459770114943,0.8592964824120602,257.0,174.0,199.0,630.0,6.0,-0.8783410665288574,0.8294356619506641
ATP,Botic Van De Zandschulp,1532,1000,1566,586,0.6527415143603134,0.37420178799489145,0.511943189154293,0.9772727272727273,0.9157303370786517,0.925531914893617,132.0,178.0,94.0,404.0,4.0,0.042604276006591474,0.34831185668519776
ATP,Brandon Nakashima,2271,1556,2291,815,0.6851607221488332,0.35573985159319077,0.5197281893906182,0.9773584905660377,0.9585253456221198,0.9224137931034483,265.0,217.0,232.0,714.0,3.0,0.6133456658444288,0.31351459681497174
ATP,Cameron Norrie,3496,2212,3436,1313,0.6327231121281465,0.3821303841676368,0.5085112521638777,0.951171875,0.9072164948453608,0.9035874439461884,512.0,485.0,446.0,1443.0,4.0,-0.6692039364892943,0.061751836031899224
ATP,Carlos Alcaraz,4374,2903,4686,1901,0.6636945587562871,0.40567648314127186,0.530242825607064,0.9789272030651341,0.9751381215469613,0.9217638691322901,522.0,724.0,703.0,1949.0,3.0,0.8627831015571419,0.32566054391689975
ATP,Casper Ruud,3150,2083,3202,1181,0.6612698412698412,0.3688319800124922,0.5138539042821159,0.9801192842942346,0.9508196721311475,0.9119318181818182,503.0,427.0,352.0,1282.0,3.0,0.4457551513856436,0.497737081302169
ATP,Christopher Eubanks,1665,1112,1544,465,0.6678678678678679,0.3011658031088083,0.4914303521346214,0.9793103448275862,0.9077669902912622,0.9310344827586207,145.0,206.0,174.0,525.0,4.0,0.013566720021929254,0.3435641066210072
ATP,Christopher O'Connell,1626,1027,1523,476,0.6316113161131611,0.31254103742613265,0.47729437916798984,0.9539473684210527,0.8840579710144928,0.8531073446327684,152.0,138.0,177.0,467.0,5.0,-1.4352483846075041,0.7082507718277242
ATP,Corentin Moutet,1868,1107,1886,702,0.5926124197002142,0.3722163308589608,0.4818859882791689,0.9936708860759493,0.8841463414634146,0.935672514619883,158.0,164.0,171.0,493.0,4.0,-0.062236305367518535,0.6290641361203962
ATP,Cristian Garin,2352,1464,2329,865,0.6224489795918368,0.3714040360669815,0.49754325998718224,0.9387755102040817,0.8978102189781022,0.918918918918919,245.0,137.0,185.0,567.0,4.0,-0.8362312060051275,-0.34653911087193906
ATP,D Medvedev,1076,715,1184,500,0.6644981412639405,0.4222972972972973,0.5376106194690266,,,,,,,,,,
ATP,D Schwartzman,1271,762,1333,622,0.5995279307631786,0.46661665416354087,0.5314900153609831,,,,,,,,,,
ATP,D Thiem,1073,679,1151,467,0.6328052190121156,0.40573414422241527,0.5152877697841727,,,,,,,,,,
ATP,D. Dzumhur,1052,614,1127,445,0.5836501901140685,0.3948535936113576,0.4860027535566774,,,,,,,,,,
ATP,D. Goffin,1600,993,1684,729,0.620625,0.4328978622327791,0.5243605359317906,,,,,,,,,,
ATP,D. Lajovic,1113,687,1075,428,0.6172506738544474,0.39813953488372095,0.5095978062157221,,,,,,,,,,
ATP,D. Medvedev,1264,814,1267,503,0.6439873417721519,0.39700078926598265,0.5203476886606084,,,,,,,,,,
ATP,D. Schwartzman,2073,1275,2121,923,0.6150506512301013,0.4351720886374352,0.5240820219360992,,,,,,,,,,
ATP,D. Thiem,3073,2058,3191,1252,0.6697038724373576,0.39235349420244436,0.5284163473818646,,,,,,,,,,
ATP,Damir Dzumhur,1212,734,1222,481,0.6056105610561056,0.39361702127659576,0.4991783073130649,0.9662921348314607,0.875,0.896551724137931,89.0,56.0,87.0,232.0,4.0,-0.9658055397946097,0.504542221096898
ATP,Daniel Elahi Galan,1545,964,1460,526,0.623948220064725,0.36027397260273974,0.49584026622296173,1.0,0.963963963963964,0.941747572815534,97.0,111.0,103.0,311.0,3.0,1.2063959992127982,0.5620568284278623
ATP,Daniel Evans,3560,2287,3657,1367,0.6424157303370787,0.37380366420563305,0.5063045586808923,0.9642857142857143,0.9253393665158371,0.91,532.0,442.0,500.0,1474.0,4.0,-0.16177465140791758,0.23322703948396478
ATP,Daniil Medvedev,6591,4405,6856,2792,0.6683356091640116,0.4072345390898483,0.5352123150145014,0.9562706270627063,0.9035714285714286,0.8484848484848485,1212.0,840.0,759.0,2811.0,6.0,-1.1720901449614782,0.7745751741376596
ATP,David Ferrer,1120,711,1135,430,0.6348214285714285,0.3788546255506608,0.5059866962305987,0.9285714285714286,0.8902439024390244,0.8378378378378378,112.0,82.0,74.0,268.0,0.0,-1.8667790136440245,0.3395998736704314
ATP,David Goffin,4707,3016,4843,1948,0.6407478223921819,0.4022300227131943,0.5197905759162303,0.9669565217391304,0.92018779342723,0.8605504587155963,575.0,426.0,545.0,1546.0,6.0,-0.6673431610183629,0.8366080139167288
ATP,Denis Istomin,1083,709,1059,341,0.65466297322253,0.32200188857412654,0.49019607843137253,0.979381443298969,0.9302325581395349,0.9047619047619048,97.0,43.0,84.0,224.0,3.0,0.07811358725521324,0.5946738536587931
ATP,Denis Kudla,1660,1039,1684,589,0.6259036144578313,0.3497624703087886,0.4868421052631579,1.0,0.952,0.8910891089108911,65.0,125.0,101.0,291.0,3.0,0.5546993737388152,1.1346046000151615
ATP,Denis Shapovalov,4579,3086,4729,1720,0.6739462764795807,0.3637132586170438,0.5163300386764074,0.9320754716981132,0.9027777777777778,0.8602941176470589,530.0,576.0,544.0,1650.0,6.0,-1.4252400711876423,0.1463735999073049
ATP,Dennis Novak,1100,694,1050,349,0.6309090909090909,0.3323809523809524,0.48511627906976745,0.9,0.96,0.8333333333333334,10.0,25.0,42.0,77.0,6.0,-1.3520863183239482,-0.31751564210964467
ATP,Diego Schwartzman,4238,2574,4385,1829,0.6073619631901841,0.41710376282782213,0.5106111562101356,0.9724409448818898,0.9557109557109557,0.9168443496801706,508.0,429.0,469.0,1406.0,3.0,0.4485734357826868,0.27718103640831315
ATP,Dominic Stricker,1016,656,1083,381,0.6456692913385826,0.3518005540166205,0.4940447832301096,1.0,0.9675324675324676,0.9098360655737705,59.0,154.0,122.0,335.0,3.0,0.9513801042979513,0.904404538708211
ATP,Dominic Thiem,3949,2634,4116,1568,0.6670043048873132,0.38095238095238093,0.5210167389956603,0.9448946515397083,0.9090909090909091,0.8770343580470162,617.0,528.0,553.0,1698.0,6.0,-0.9888070538710548,0.21853318778402703
ATP,Dominik Koepfer,1947,1169,1766,646,0.6004108885464817,0.36579841449603623,0.48882305413412336,0.8785046728971962,0.9259259259259259,0.8888888888888888,107.0,162.0,99.0,368.0,2.0,-1.6135839304505066,-1.3123322897282652
ATP,Dusan Lajovic,2622,1582,2541,872,0.6033562166285278,0.3431719795356159,0.47530505520046484,0.945273631840796,0.875,0.8538011695906432,201.0,176.0,171.0,548.0,0.0,-1.6826900663944881,0.5361467230516522
ATP,Emil Ruusuvuori,1345,863,1400,484,0.641635687732342,0.3457142857142857,0.4907103825136612,1.0,0.9540229885057471,0.94,63.0,87.0,100.0,250.0,3.0,1.0504844734738863,0.5975267369385047
ATP,Ernesto Escobedo,1000,647,1025,351,0.647,0.34243902439024393,0.4928395061728395,0.9493670886075949,0.9014084507042254,0.9782608695652174,79.0,71.0,46.0,196.0,4.0,-0.06333432736668872,-0.7808855096236547
ATP,F. Fognini,2144,1369,2133,838,0.6385261194029851,0.3928738865447726,0.5160158989946224,,,,,,,,,,
ATP,F. Krajinovic,1083,673,1125,420,0.6214219759926131,0.37333333333333335,0.495018115942029,,,,,,,,,,
ATP,F. Tiafoe,1022,645,1031,344,0.6311154598825832,0.33365664403491757,0.48173404773502193,,,,,,,,,,
ATP,F. Verdasco,1628,1058,1662,669,0.6498771498771498,0.40252707581227437,0.5249240121580547,,,,,,,,,,
